,cluster,auc,pre_micro,pre_macro
count,28.0,28.0,28.0,0.0
mean,13.5,0.5119048829972938,0.49762155433473876,
std,8.225975119502044,0.16621795694141497,0.0757440639832085,
min,0.0,0.31077223620946626,0.3181438231576669,
25%,6.75,0.3922024041271259,0.4542374370429607,
50%,13.5,0.4555594826584163,0.5206619016175849,
75%,20.25,0.5930583063483408,0.5553813965656307,
max,27.0,0.9691479119027562,0.5936674333642401,
